my_ticker,hold_per,pct_uprows,max_up_return,min_up_return,avg_up_return,avg_down_return,exp_return,stdev_returns,pct_downside,worst_return,least_pain_pt,total_years,max_consec_beat,best_buy_date,best_sell_date,analyzed_years
ALL,2 Mos,0.1129,0.7886,-0.1366,0.0243,-0.0049,0.0202,0.0988,-0.0786,-0.6011,0.0072,27,13,2-9,4-9,20
AME,2 Mos,0.1074,0.3987,-0.3152,0.039,-0.003,0.0363,0.0851,-0.0488,-0.4141,0.0157,36,6,10-24,12-23,20
BDX,3 Mos,0.1653,0.3385,-0.1584,0.0377,0.0035,0.0353,0.0839,-0.0486,-0.3203,0.0309,47,25,11-24,2-24,20
BLK,3 Mos,0.1129,0.4582,-0.5222,0.0588,0.0311,0.0565,0.1422,-0.0857,-0.53,0.0069,21,7,10-23,1-23,20
BKNG,2 Mos,0.1074,1.6303,-0.2764,0.064,0.0034,0.0502,0.2522,-0.202,-0.8837,0.0453,21,10,2-5,4-5,20
BF-B,2 Mos,0.1102,0.3976,-0.1852,0.0391,-0.0086,0.0356,0.0768,-0.0412,-0.2822,0.0179,31,10,4-16,6-15,20
CHD,3 Mos,0.1928,0.3089,-0.4326,0.0488,0.008,0.0478,0.0929,-0.0451,-0.4619,0.0261,38,16,2-10,5-10,20
COO,3 Mos,0.1295,0.7563,-0.2785,0.0651,-0.0319,0.0508,0.1477,-0.0969,-0.6975,0.0103,37,17,12-31,3-31,20
CPRT,2 Mos,0.135,0.8024,-0.3902,0.0491,-0.0146,0.0377,0.1231,-0.0854,-0.4286,-0.004,26,29,10-5,12-4,20
DHR,3 Mos,0.1129,0.3791,-0.3652,0.0458,0.0174,0.0454,0.1113,-0.0659,-0.3891,0.0127,41,5,10-12,1-12,20
DE,2 Mos,0.1515,0.3757,-0.4402,0.0442,-0.003,0.029,0.1053,-0.0763,-0.5744,0.0374,48,15,11-19,1-20,20
ECL,3 Mos,0.1129,0.3985,-0.0984,0.0371,0.0108,0.0357,0.0785,-0.0428,-0.3191,0.0168,47,14,3-20,6-18,20
EL,3 Mos,0.1185,0.6701,-0.1912,0.0559,-0.0154,0.0392,0.1214,-0.0822,-0.5058,0.0118,24,27,1-31,4-30,20
FISV,3 Mos,0.1185,0.7644,-0.3641,0.0431,-0.0159,0.0424,0.109,-0.0666,-0.4341,0.0031,34,15,1-24,4-23,20
GL,2 Mos,0.1047,0.8111,-0.425,0.0277,-0.0136,0.0237,0.0922,-0.0685,-0.6305,0.0091,40,16,2-9,4-9,20
HSIC,3 Mos,0.1185,0.472,-0.2573,0.0483,0.0096,0.0468,0.1169,-0.0701,-0.4357,0.0221,24,11,2-5,5-5,20
HON,3 Mos,0.1047,0.4502,-0.4467,0.0383,-0.027,0.0295,0.1245,-0.095,-0.5129,0.0148,50,16,10-18,1-18,20
HRL,2 Mos,0.1074,0.2941,-0.2975,0.0326,0.0026,0.0293,0.076,-0.0467,-0.3023,-0.0019,35,20,10-9,12-8,20
IEX,2 Mos,0.124,0.3815,-0.3699,0.036,-0.0159,0.0296,0.093,-0.0634,-0.48,0.0167,31,7,10-28,12-28,20
LIN,3 Mos,0.1047,0.4107,-0.3462,0.0375,0.0202,0.036,0.0906,-0.0546,-0.4687,0.0282,28,25,2-6,5-6,20
MKC,2 Mos,0.1019,0.3276,-0.2517,0.0282,0.0021,0.0258,0.0669,-0.0411,-0.2592,0.0083,47,18,1-27,3-27,20
MTD,3 Mos,0.1791,0.3274,-0.4219,0.047,0.0039,0.0459,0.1233,-0.0774,-0.4219,0.0016,22,35,11-1,2-1,20
MAA,2 Mos,0.1185,0.6136,-0.2289,0.0294,-0.0058,0.0267,0.0788,-0.0521,-0.5152,0.0044,26,14,5-21,7-21,20
NEE,2 Mos,0.1185,0.3875,-0.2935,0.0296,0.0054,0.0288,0.0672,-0.0384,-0.3759,0.0099,47,11,2-3,4-3,20
NI,2 Mos,0.1074,0.5217,-0.1188,0.0308,-0.0006,0.0303,0.0828,-0.0525,-0.3016,0.0186,47,35,3-17,5-16,20
NVR,3 Mos,0.1212,0.7764,-0.3484,0.0746,-0.0157,0.0681,0.1653,-0.0972,-0.4968,-0.0052,35,13,10-24,1-24,20
PGR,3 Mos,0.1295,0.8923,-0.1176,0.0587,-0.0133,0.0424,0.1179,-0.0755,-0.4192,0.0176,40,28,2-1,5-1,20
DGX,3 Mos,0.1102,1.0802,-0.2883,0.0602,-0.0184,0.046,0.1513,-0.1053,-0.4495,-0.0339,23,33,3-15,6-13,20
O,3 Mos,0.1488,0.3023,-0.254,0.0472,0.0194,0.0468,0.0926,-0.0458,-0.3845,0.009,25,18,1-10,4-9,20
RSG,2 Mos,0.1515,0.526,-0.3204,0.0339,-0.0196,0.0268,0.082,-0.0552,-0.4361,-0.0004,22,8,3-1,4-30,20
ROK,2 Mos,0.1047,0.4504,-0.3185,0.0437,-0.0098,0.0315,0.123,-0.0915,-0.5222,0.0277,38,10,10-27,12-27,20
SNA,2 Mos,0.1295,0.6478,-0.4423,0.0363,-0.0196,0.024,0.0992,-0.0752,-0.4912,0.0065,47,11,10-19,12-18,20
UDR,3 Mos,0.1763,0.6013,-0.4678,0.0395,0.0036,0.0381,0.1115,-0.0734,-0.5495,0.0112,40,34,2-20,5-20,20
UNP,3 Mos,0.1901,0.533,-0.3894,0.0537,-0.0022,0.05,0.1076,-0.0576,-0.4339,-0.0005,40,13,1-29,4-28,20
VFC,3 Mos,0.1708,0.3722,-0.2051,0.0601,0.0168,0.0595,0.1137,-0.0542,-0.4712,0.0713,38,38,2-1,5-1,20
VLO,3 Mos,0.1074,0.7549,-0.3603,0.0965,-0.0127,0.0622,0.1767,-0.1145,-0.5951,0.0194,38,24,11-26,2-26,20
WRB,3 Mos,0.1074,0.5904,-0.1626,0.0575,0.021,0.0544,0.1233,-0.0689,-0.3296,0.0047,46,11,1-17,4-16,20
YUM,2 Mos,0.1267,0.5138,-0.1324,0.0389,-0.0036,0.0288,0.0877,-0.0589,-0.3575,0.0263,23,11,3-2,5-1,20
